name,Stroke,Total_Tobacco_Consumption,WPM2.5,Dyslipdemia,Population
Riyadh,12,392,49.00536,227,6459480
Makkah,11,273,51.86058,165,6371590
Madinah,1,58,48.01454,26,1572705
Al Qassim,0,14,44.14183,16,1031354
Eastern Province,6,94,47.32641,87,3820585
Asir,0,60,39.71297,53,1549549
Tabuk,0,36,26.44076,9,639275
Ha'il,0,23,34.035,9,532515
Northern Borders,0,8,31.05663,4,258691
Jazan,0,34,45.1512,21,1071602
Najran,0,7,54.90682,12,410506
Al Bahah,0,15,40.56398,30,306827
Al Jawf,0,26,25.87969,9,375969
